URL,Original_URL,Title 1,page_type,url_group,Views,Active users,Average engagement time per session,strategic_value,strategic_score,recommendation,reason,flag_for_review,is_stale,quality_issues,Status Code,Indexability
https://www.nysid.edu/,https://www.nysid.edu/,New York School of Interior Design,Other Content,Homepage,17366.0,16902.0,9.864018372,,0,ADAPT,Traffic present but poor engagement - content restructure needed,False,False,Missing/weak meta description; Low engagement despite traffic - likely poor UX/structure,200,Indexable
https://www.nysid.edu/basic-interior-design,https://www.nysid.edu/basic-interior-design,Basic Interior Design Certificate Program — New York School of Interior Design,Other Content,Basic Interior Design,6869.0,5790.0,33.63803681,,0,ADAPT,High-value page but has quality issues to address,False,False,Missing/weak meta description,200,Indexable
https://www.nysid.edu/online-learning,https://www.nysid.edu/online-learning,Online Learning — New York School of Interior Design,Other Content,Online Learning,4870.0,4661.0,64.33577064,,0,ADAPT,High-value page but has quality issues to address,False,False,Missing/weak meta description; Missing H1,200,Indexable
https://www.nysid.edu/request-information,https://www.nysid.edu/request-information,Request Information — New York School of Interior Design,Other Content,Request Information,2425.0,2093.0,42.21525647,,0,ADAPT,High-value page but has quality issues to address,False,False,Missing/weak meta description,200,Indexable
https://www.nysid.edu/bachelor-of-fine-arts-in-interior-design,https://www.nysid.edu/bachelor-of-fine-arts-in-interior-design,Bachelor of Fine Arts in Interior Design — New York School of Interior Design,Other Content,Other,2127.0,1709.0,42.41297935,,0,ADAPT,High-value page but has quality issues to address,False,False,Missing/weak meta description,200,Indexable
https://www.nysid.edu/admissions-requirements,https://www.nysid.edu/admissions-requirements,Admissions Requirements — New York School of Interior Design,Other Content,Admissions Requirements,2016.0,1500.0,44.94683908,,0,ADAPT,High-value page but has quality issues to address,False,False,Missing/weak meta description,200,Indexable
https://www.nysid.edu/master-of-fine-arts-in-interior-design,https://www.nysid.edu/master-of-fine-arts-in-interior-design,Master of Fine Arts in Interior Design — New York School of Interior Design,Other Content,Other,1839.0,1370.0,41.96226415,,0,ADAPT,High-value page but has quality issues to address,False,False,Missing/weak meta description,200,Indexable
https://www.nysid.edu/take-a-class,https://www.nysid.edu/take-a-class,Take a Class — New York School of Interior Design,Other Content,Take A Class,1839.0,1559.0,13.05077011,,0,ADAPT,Traffic present but poor engagement - content restructure needed,False,False,Missing/weak meta description,200,Indexable
https://www.nysid.edu/associate-in-applied-science,https://www.nysid.edu/associate-in-applied-science,Associate of Applied Science in Interior Design — New York School of Interior Design,Other Content,Associate In Applied Science,1669.0,1269.0,38.1352381,,0,ADAPT,High-value page but has quality issues to address,False,False,Missing/weak meta description,200,Indexable
https://www.nysid.edu/search,https://www.nysid.edu/search,,Other Content,Search & Utility,989.0,755.0,39.06367925,,0,ADAPT,High-value page but has quality issues to address,False,False,Missing/weak title; Missing/weak meta description; Missing H1; Potentially thin content,0,Non-Indexable
https://www.nysid.edu/academic-catalog,https://www.nysid.edu/academic-catalog,Academic Catalog — New York School of Interior Design,Other Content,Academic Catalog,884.0,696.0,6.543290043,,0,ADAPT,Traffic present but poor engagement - content restructure needed,False,False,Missing/weak meta description; Low engagement despite traffic - likely poor UX/structure,200,Indexable
