group_id,recommendation,url_group,reason,page_count,sample_url_1,sample_url_2,sample_url_3,sample_url_4,sample_url_5
1,FLAG FOR REVIEW,Academic Calendar,Low traffic - assess relevance,208,https://www.nysid.edu/academic-calendar-list/last-day-to-drop-fall-courses-1,https://www.nysid.edu/academic-calendar-list/last-day-for-100-refund-for-fall-semester-3-kaxee,https://www.nysid.edu/academic-calendar-list/thanksgiving-break-no-classes-all-buildings-closed-1,https://www.nysid.edu/academic-calendar-list/summer-semester-begins-2,https://www.nysid.edu/academic-calendar-list/late-registration-for-spring-semesterspring2026
2,LEAVE BEHIND,Academic Calendar,Event page with minimal traffic - likely past event,208,https://www.nysid.edu/academic-calendar-list/last-day-to-drop-fall-courses-1?format=ical,https://www.nysid.edu/academic-calendar-list/last-day-for-100-refund-for-fall-semester-3-kaxee?format=ical,https://www.nysid.edu/academic-calendar-list/thanksgiving-break-no-classes-all-buildings-closed-1?format=ical,https://www.nysid.edu/academic-calendar-list/summer-semester-begins-2?format=ical,https://www.nysid.edu/academic-calendar-list/last-day-for-voluntary-withdrawal-from-classes-1?format=ical
3,FLAG FOR REVIEW,Atelier Magazine,Low traffic - assess relevance,157,https://www.nysid.edu/atelier-mag/nantucket-by-design-2020,https://www.nysid.edu/atelier-mag/porfolio-klayre-tan,https://www.nysid.edu/atelier-mag/portfolio-nirali-prajapati-23-mpsl,https://www.nysid.edu/atelier-mag/porfolio-grace-spiezia-samantha-berlanga,https://www.nysid.edu/atelier-mag/tag/fall+2018
4,FLAG FOR REVIEW,Press Releases,Moderate traffic but unclear strategic value value,121,https://www.nysid.edu/press-releases-and-in-the-news/the-new-york-school-of-interior-design-announces-honorees-for-annual-gala-2026,https://www.nysid.edu/press-releases-and-in-the-news/sketching-the-surface-exploring-the-new-york-school-of-interior-design-archives-and-contemporary-pattern-design,https://www.nysid.edu/press-releases-and-in-the-news?author=64dcd60578f02a78ef8650ae,https://www.nysid.edu/press-releases-and-in-the-news?author=6446c913dd9d6e5ab247846b,https://www.nysid.edu/press-releases-and-in-the-news?author=65f0c1b518bc7271f43a336b
5,LEAVE BEHIND,Documents & Downloads,Low traffic + poor quality + weak strategic value alignment,114,https://www.nysid.edu/s/academic-catalog-20192020-v2,https://www.nysid.edu/s/nysid-20-21-catalog-dec10.pdf,https://www.nysid.edu/s/nysid2018acadcatoct11.pdf,https://www.nysid.edu/s/nysid2022academiccatalog-dec7v2.pdf,https://www.nysid.edu/s/nysid-saccs-climate-survey-23-24-results.pdf
6,LEAVE BEHIND,Events Calendar,Event page with minimal traffic - likely past event,111,https://www.nysid.edu/events-calendar/printing-in-distemper-woodblock-workshop,https://www.nysid.edu/events-calendar/be-original-prevent-the-demise-of-design,https://www.nysid.edu/events-calendar/printing-in-distemper-woodblock-workshop?format=ical,https://www.nysid.edu/events-calendar/be-original-prevent-the-demise-of-design?format=ical,https://www.nysid.edu/events-calendar/interior-design-master-class-100-rooms
7,FLAG FOR REVIEW,Faculty Directory,Faculty/staff bio page - verify if person still employed,102,https://www.nysid.edu/faculty-directory/jeffri-boisvert,https://www.nysid.edu/faculty-directory/daniel-harper,https://www.nysid.edu/faculty-directory/tag/s,https://www.nysid.edu/faculty-directory/tim-chogovadze2,https://www.nysid.edu/faculty-directory/tama-duffy-day
8,FLAG FOR REVIEW,Other,Low traffic - assess relevance,85,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/kira-cedeno,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/chihchieh-hsu,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/jessica-hassler,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/cielo-cortes,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/tatiana-toshimitsu
9,LEAVE BEHIND,Blog,Low traffic + poor quality + weak strategic value alignment,82,https://www.nysid.edu/blog/john-buscarello-on-whats-foundational-vs-cutting-edge-in-kitchen-amp-bath-design,https://www.nysid.edu/blog/faculty-and-students-see-nysid-instructors-art-show-up-close-in-mumbai,https://www.nysid.edu/blog/precollege2020,https://www.nysid.edu/blog/tag/nancy+short,https://www.nysid.edu/blog/the-legacy-of-alumna-maria-spears
10,STALE CONTENT,Faculty Directory,Content from 2017 - older than 2025,79,https://www.nysid.edu/faculty-directory/2017/10/18/ellen-fisher,https://www.nysid.edu/faculty-directory/2017/10/11/shannon-m-leddy-allied-asid-idec,https://www.nysid.edu/faculty-directory/2017/10/18/randi-halpern-cid-idec,https://www.nysid.edu/faculty-directory/2017/10/18/lissette-carrera,https://www.nysid.edu/faculty-directory/2017/10/11/adam-kornelli
